job_id,title,company,role_category,source,skill,skill_category
remotive_2090878,Director of Revenue Systems and AI Automation (Offshore),Caul Group,Other,Remotive,R,Programming
remotive_2090878,Director of Revenue Systems and AI Automation (Offshore),Caul Group,Other,Remotive,Git,Tools
remotive_1956455,iOS Developer,nooro,Other,Remotive,R,Programming
remotive_1956455,iOS Developer,nooro,Other,Remotive,Git,Tools
remotive_2086540,Inside Sales Contractor,"Credit Wellness, LLC",Other,Remotive,R,Programming
remotive_2086540,Inside Sales Contractor,"Credit Wellness, LLC",Other,Remotive,Git,Tools
remotive_1185979,Freelance Writer,IAPWE,Other,Remotive,R,Programming
remotive_2090874,🇩🇪Customer Support Manager,Parkosecure GmbH,Other,Remotive,R,Programming
remotive_1749306,Copywriter,Coalition Technologies,Other,Remotive,R,Programming
remotive_1749306,Copywriter,Coalition Technologies,Other,Remotive,Excel,Data Analysis
remotive_1749306,Copywriter,Coalition Technologies,Other,Remotive,Git,Tools
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,Python,Programming
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,R,Programming
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,SQL,Programming
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,Java,Programming
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,JavaScript,Programming
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,Machine Learning,Machine Learning
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,AWS,Cloud
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,Azure,Cloud
remotive_2090002,Senior DevOps Engineer,Lemon.io,Other,Remotive,GCP,Cloud
remotive_2090000,Operations software assistant,Bulldog Digital Media,Other,Remotive,R,Programming
remotive_2090000,Operations software assistant,Bulldog Digital Media,Other,Remotive,Git,Tools
remotive_2089995,Head of Engineering,Lemon.io,Other,Remotive,R,Programming
remotive_2089994,Mid/Senior AI Video Artist,EverAI,Other,Remotive,R,Programming
remotive_2089994,Mid/Senior AI Video Artist,EverAI,Other,Remotive,Excel,Data Analysis
remotive_2089994,Mid/Senior AI Video Artist,EverAI,Other,Remotive,AWS,Cloud
remotive_2089994,Mid/Senior AI Video Artist,EverAI,Other,Remotive,Git,Tools
remotive_2089990,Content Reviewer - US,TELUS Digital,Other,Remotive,R,Programming
remotive_2089990,Content Reviewer - US,TELUS Digital,Other,Remotive,Excel,Data Analysis
remotive_2089990,Content Reviewer - US,TELUS Digital,Other,Remotive,Machine Learning,Machine Learning
remotive_2089990,Content Reviewer - US,TELUS Digital,Other,Remotive,Git,Tools
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,Python,Programming
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,R,Programming
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,Machine Learning,Machine Learning
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,Scikit-learn,Machine Learning
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,TensorFlow,Machine Learning
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,PyTorch,Machine Learning
remotive_2089958,AI Engineer,Dry Ground AI,Other,Remotive,Spark,Data Engineering
remotive_2088656,Customer Retention Manager,AutoHDR,Other,Remotive,R,Programming
remotive_2088655,Customer Support Representative,AutoHDR,Other,Remotive,R,Programming
remotive_1919266,Senior Independent AI Engineer / Architect,A.Team,Other,Remotive,R,Programming
remotive_1919265,Senior Independent Software Developer,A.Team,Other,Remotive,R,Programming
remotive_1919265,Senior Independent Software Developer,A.Team,Other,Remotive,ETL,Data Engineering
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,Python,Programming
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,R,Programming
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,Java,Programming
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,JavaScript,Programming
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,Machine Learning,Machine Learning
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,AWS,Cloud
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,Azure,Cloud
remotive_2088711,Senior Full-stack React Developer,Lemon.io,Other,Remotive,GCP,Cloud
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,R,Programming
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,SQL,Programming
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,Java,Programming
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,JavaScript,Programming
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,Excel,Data Analysis
remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Other,Remotive,Databricks,Data Engineering
